Тип;Название;Ккал;Белки;Жиры;Углеводы;МассаПорции;Примечание;Источник
ПРОДУКТ;Bao Buns;211.27;11.27;3.52;33.8;0;;
ПРОДУКТ;Barbecue Souce;56;2;0.8;12.4;0;;
ПРОДУКТ;Barilla;350;13;2;67;0;;
ПРОДУКТ;Barilla makarna;359;12.5;2;71.2;0;;
ПРОДУКТ;Barista Milk;64;3.3;3.5;4.8;0;;
ПРОДУКТ;Barkleys Cinnamon;385;0.5;0.9;98;0;;
ПРОДУКТ;Barley Groats;364;8.8;1.7;77.9;0;;
ПРОДУКТ;Barni, chocolate;398;5.2;16;60;0;;
ПРОДУКТ;Basmati ryžiai;350;6.9;0.5;79.7;0;;
ПРОДУКТ;Basmati white rice;330;7;1;71.4;0;;
ПРОДУКТ;Batonik z masy twarogowej z nadzieniem z mlekiem zagęszczonym słodzonym oblany czekoladą;351;11.5;21.2;27.7;0;;
ПРОДУКТ;Battistero;387.5;6.25;18.75;51.25;0;;
ПРОДУКТ;Bebida de Almendra;17;0.78;1.4;0.5;0;;
ПРОДУКТ;Beef Burger Americano;234;12.4;18.2;5.1;0;;
ПРОДУКТ;Beef Jerky;358;66.14;5.25;13;0;;
ПРОДУКТ;Beef Pepperoni Pizza;258;12.9;9.9;29.4;0;;
ПРОДУКТ;Beef Tenderloin;147;20.6;7.65;0;0;;
ПРОДУКТ;Beerenmischung;41.35;2.8;0;5.9;0;;
ПРОДУКТ;Beerka Мясные Снеки Сырокопченые;225;45;5;0;0;;
ПРОДУКТ;Beetroot cutlets;135;10.6;2.1;18.5;0;;
ПРОДУКТ;Belgian chocolate - Dark 72% almonds;567;9.2;45;28;0;;
ПРОДУКТ;Belvita;408;0.59;15;62;0;;
ПРОДУКТ;Belvita Утреннее печенье;102;8.2;15;68;0;;
ПРОДУКТ;Benjalin чипс Дзадзики 2411;440;6.4;14;71;0;;
ПРОДУКТ;Berry sauce;161;0.8;0.6;38;0;;
ПРОДУКТ;Besee;395;1.5;0;97.2;0;;
ПРОДУКТ;Bhakar Badi мини-рулеты с начинкой из нутовой муки с солью;542.3;7.4;37.9;42.9;0;;
ПРОДУКТ;Bhelpuri Mixture Хрустящая смесь с воздушным рисом;511.2;12.2;27.6;53.5;0;;
ПРОДУКТ;Bib snail pear mango stripe;221.43;7.14;0;50;0;;
ПРОДУКТ;Bibigo cheese tteokbokki ramyun;380;7.7;10.1;64.6;0;;
ПРОДУКТ;Bibim sous;250;3.33;4.67;50;0;;
ПРОДУКТ;Biezpiena Sieriņš ar aveņu pildījumu;380;13;22.8;30.5;0;;
ПРОДУКТ;Biezpiens;84;18.9;0.5;0.9;0;;
ПРОДУКТ;Biezpiens 9;157;17;9;2;0;;
ПРОДУКТ;Bifrut Вафли Черничные;490;4.5;32;59;0;;
ПРОДУКТ;Big Bon Discovery Лапша с соусом сальса по-мексикански с курицей;380;6;18;47;0;;
ПРОДУКТ;Big Bon Max;380;6.5;18;47;0;;
ПРОДУКТ;Big lunch noodles;411.09;7;20;51;0;;
ПРОДУКТ;Bijela Riza (Dugo Zrno;351;8.2;0.9;77;0;;
ПРОДУКТ;Bikano Chatak masala;535;6.4;33.2;52.6;0;;
ПРОДУКТ;Bio Carrot Juice;29;0.8;0;6;0;;
ПРОДУКТ;Bio Integrale Elicoidali n° 49;348;14;1.9;65.8;0;;
ПРОДУКТ;Bio Integrale Farfalle n° 85;348;14;1.9;65.8;0;;
ПРОДУКТ;Bio Integrale Penne Rigate n° 66;348;14;1.9;65.8;0;;
ПРОДУКТ;Bio Integrale Spaghetti n° 3;348;14;1.9;65.8;0;;
ПРОДУКТ;Bio Mus Jogurt+Zboża Jabłko Gruszka;85;1.9;1.4;15;0;;
ПРОДУКТ;Bio Penne Rigate N. 32 500 GR. Delverde;354;11;1.4;71;0;;
ПРОДУКТ;Bio Soja Boisson;32;3;1.7;1;0;;
ПРОДУКТ;Bio Sommer Gemuse;36;2.2;0.5;4.1;0;;
ПРОДУКТ;Bio Sonnenblumen Kastenbrot;281;9.1;8.2;40;0;;
ПРОДУКТ;Bio mozzarella;243;18.1;18.5;1;0;;
ПРОДУКТ;Bio Баланс Биокефирный 1;38;3;1;4.3;0;;
ПРОДУКТ;Bio Кефирный 1;38;3.2;1;4;0;;
ПРОДУКТ;Bio-Gemüsechips mit Meersalz;547;5.7;37;37;0;;
ПРОДУКТ;Bio-Skyr Дыня канталупа;35;6;0;3;0;;
ПРОДУКТ;Bio-Skyr Страчателла-пломбир;35;6;0;3;0;;
ПРОДУКТ;Bio-Skyr черника-голубика;35;6;0;3;0;;
ПРОДУКТ;Bio-skyr Гранат;35;6;0;3;0;;
