Тип;Название;Ккал;Белки;Жиры;Углеводы;МассаПорции;Примечание;Источник
ПРОДУКТ;Котлеты из курицы и индейки;185.7;13.9;11.4;6.8;0;;
ПРОДУКТ;Котлеты из курицы и индейки с картофельным пюре;141.1;5.9;8.4;10.5;0;;
ПРОДУКТ;Котлеты из курицы с картофельным пюре;141;5.91;8.41;10.5;0;;
ПРОДУКТ;Котлеты из мяса птицы;273.79;19.79;21.43;0.5;0;;
ПРОДУКТ;Котлеты из мяса птицы паровые с гречкой;178.4;11.6;9.2;12.3;0;;
ПРОДУКТ;Котлеты из мяса цыпленка и индейки с моцареллой;150.1;13.3;7.7;6.9;0;;
ПРОДУКТ;Котлеты из мяса цыплят рубленые;244.01;15.2;13.6;13.5;0;;
ПРОДУКТ;Котлеты из свинины отбивные;482.22;17.5;40.3;8.8;0;;
ПРОДУКТ;Котлеты из телятины;382.29;23;31;0;0;;
ПРОДУКТ;Котлеты из трески;167.97;12.6;5.9;15;0;;
ПРОДУКТ;Котлеты из филе грудки цыпленка с маслом;187;18.2;8.5;8;0;;
ПРОДУКТ;Котлеты из цыпленка-бройлера с индейкой и сливочным сыром;173.1;20.8;8;4.5;0;;
ПРОДУКТ;Котлеты из цыпленка-бройлера с сыром моцарелла;168;14.6;8.3;8.7;0;;
ПРОДУКТ;Котлеты из цыплёнка с грибами и сулугуни;157;16;9;3;0;;
ПРОДУКТ;Котлеты из цыплёнка-бройлера с индейкой и укропом;149.8;17.9;8.2;1.1;0;;
ПРОДУКТ;Котлеты из шампиньонов с морковью;99.9;3.7;0.3;20.6;0;;
ПРОДУКТ;Котлеты капустные;75;3;0.4;15;0;;
ПРОДУКТ;Котлеты картофельные от Ильиной;75;2;2.5;11;0;;
ПРОДУКТ;Котлеты картофельные с нутом в кукурузной панировке;88;2.6;0.8;17.5;0;;
ПРОДУКТ;Котлеты классические Рубатки;131;10.9;8.2;3.3;0;;
ПРОДУКТ;Котлеты куриные Куролеты;150;17;7;5;0;;
ПРОДУКТ;Котлеты куриные с моцареллой с булгуром, киноа и овощами;154.5;10.2;8.5;9.3;0;;
ПРОДУКТ;Котлеты морковные;80;3;0.2;17;0;;
ПРОДУКТ;Котлеты немясо со вкусом курочки;123.4;12.2;2.6;12.8;0;;
ПРОДУКТ;Котлеты овощные с брокколи;110.1;4.2;2.1;18.6;0;;
ПРОДУКТ;Котлеты по-домашнему;220;12;14;11;0;;
ПРОДУКТ;Котлеты по-киевски С Сыром и Зеленью;313;20.6;21.9;8.5;0;;
ПРОДУКТ;Котлеты растительные HiBurger;239;10;19;4.7;0;;
ПРОДУКТ;Котлеты растительные HiChicken;199;8.5;13;8;0;;
ПРОДУКТ;Котлеты с отборной говядиной Рубатки;153;12.8;10.3;2.2;0;;
ПРОДУКТ;Котлеты с сыром сулугуни и базиликом;200;15.2;14.8;2.6;0;;
ПРОДУКТ;Котлеты с чесноком Рубатки;134;11.2;7.8;4.8;0;;
ПРОДУКТ;Котлеты сочные;243;9;19;9;0;;
ПРОДУКТ;Котлеты столичные куриные;228;11;20;1;0;;
ПРОДУКТ;Котоеты Из Индейки И Цыплёнка С Сыром Чеддер;204.7;18;10.3;10;0;;
ПРОДУКТ;Кофе;476;4.6;20;69.5;0;;
ПРОДУКТ;Кофе Maxwell House гранулированный сухой;102.09;14.6;0;10.3;0;;
ПРОДУКТ;Кофе Maxwell House растворимый сухой;102.09;14.6;0;10.3;0;;
ПРОДУКТ;Кофе Monarch caramel;103;0.1;0.05;0.4;0;;
ПРОДУКТ;Кофе Латте;52;3;2.2;5;0;;
ПРОДУКТ;Кофе Латте Со Вкусом Имбирного Пряника;60;2.3;2.7;6.3;0;;
ПРОДУКТ;Кофе Леовит Худеем за неделю Капуччино для похудения жиросжигающий комплекс;508.35;6;15;84;0;;
ПРОДУКТ;Кофе Натуральный Со Сгущенкой;299;1.84;7.5;56.1;0;;
ПРОДУКТ;Кофе Натуральный Со Снущенкой;299;1.84;7.5;56.1;0;;
ПРОДУКТ;Кофе Президент молотый сухой;202.25;13.9;14.4;2.8;0;;
ПРОДУКТ;Кофе Тайм Biscuits;446;6.5;16;69;0;;
ПРОДУКТ;Кофе Чибо растворимый сухой;270.54;18.1;0.7;46.3;0;;
ПРОДУКТ;Кофе в дрип-пакете #2;303.2;13.9;14.4;29.5;0;;
ПРОДУКТ;Кофе жареный в зёрнах сухой;254.73;13.9;14.4;15.6;0;;
ПРОДУКТ;Кофе зелёный сухой;198.66;12.3;0.2;35.7;0;;
ПРОДУКТ;Кофе латте макиато;27.36;1.5;1.4;2;0;;
ПРОДУКТ;Кофе мокаччино;300.6;2.8;10.6;46.5;0;;
ПРОДУКТ;Кофе натуральный молотый сухой;207.58;13.9;14.4;4.1;0;;
ПРОДУКТ;Кофе по-ирландски;58.21;0;4.5;4;0;;
ПРОДУКТ;Кофе растворимый сухой;94.01;15;3.5;0;0;;
ПРОДУКТ;Кофе с молоком;523.18;6.3;30;55;0;;
ПРОДУКТ;Кофе с молоком и сахаром;58.08;0.7;1;11.2;0;;
ПРОДУКТ;Кофе со сгущенным молоком;55.92;0.7;0.9;10.9;0;;
ПРОДУКТ;Кофе со сгущенным молоком и сахаром;63.79;0.6;0.6;13.6;0;;
ПРОДУКТ;Кофе черный;2.05;0.2;0;0.3;0;;
ПРОДУКТ;Кофейная карамель;436;0.6;9.9;86.2;0;;
ПРОДУКТ;Кофейный напиток;361.11;6;4.8;71.2;0;;
ПРОДУКТ;Кофейный напиток MacCoffee растворимый Оригинальный 3 в 1;439.22;3;8;86;0;;
ПРОДУКТ;Кофейный напиток Nescaf? Xpress Choko Latte;50.92;1.4;1.2;8.3;0;;
ПРОДУКТ;Кофейный напиток Nescaf? Xpress Vanilla;51.85;1.4;1.3;8.3;0;;
ПРОДУКТ;Кофейный напиток iCafe Iced French Vanilla Coffe;44.36;1;1.2;7.1;0;;
ПРОДУКТ;Кофейный напиток iCafe Iced Mocha;53.79;1.2;1.2;9.2;0;;
ПРОДУКТ;Кофейный напиток “Капучино” сливочный;437;3.4;11;80;0;;
ПРОДУКТ;Кпша овсяная;416;8.6;9.8;73.4;0;;
ПРОДУКТ;Краб голубой;84.43;18.1;1.1;0;0;;
ПРОДУКТ;Краб камчатский;80.6;18.3;0.6;0;0;;
ПРОДУКТ;Крабкейки;234;10;9;28;0;;
ПРОДУКТ;Крабовая колбаса;98.56;15.2;0.9;6.8;0;;
ПРОДУКТ;Крабовая крошка охлаждённая (имитация;78.87;4.5;0.5;14;0;;
ПРОДУКТ;Крабовое мясо «Классика;93.21;6.2;0.38;16.2;0;;
ПРОДУКТ;Крабовое мясо Мирамар;143.64;15.4;6.9;4;0;;
ПРОДУКТ;Крабовое мясо Санта Бремор;86.31;4.9;1.7;12.3;0;;
ПРОДУКТ;Крабовое мясо. Охлаждённое;109.94;7.8;0.8;17.5;0;;
ПРОДУКТ;Крабовые палочки;114;5.4;1;20.9;0;;
ПРОДУКТ;Крабовые палочки (имитация) охлажденные;109.94;8;3.5;12;0;;
ПРОДУКТ;Крабовые палочки Vici Имитация из сурими (замороженные;109.33;6.4;1;18;0;;
ПРОДУКТ;Крабовые палочки Vici сочные;74.89;6;1;10;0;;
ПРОДУКТ;Крабовые палочки «Классика;93.21;6.2;0.38;16.2;0;;
ПРОДУКТ;Крабовые палочки Меридиан Снежный краб;143.64;15.4;6.9;4;0;;
ПРОДУКТ;Крабовые палочки Мирамар;143.64;15.4;6.9;4;0;;
ПРОДУКТ;Крабовые палочки Санта Бремор Снежный краб;71.61;8.9;1;6.3;0;;
ПРОДУКТ;Крабовые палочки замороженные;195.98;3;15;12;0;;
ПРОДУКТ;Крабовые палочки охлажденные;108;7.8;0.8;17.5;0;;
ПРОДУКТ;Крабовые палочки охлажденные имитация;105;4.4;2.4;16.4;0;;
ПРОДУКТ;Крабовые палочки снежный краб;120;10;5.5;7;0;;
ПРОДУКТ;Крабовый Салаь;162.98;4.97;10.7;11.7;0;;
ПРОДУКТ;Кработые Палочки;85.2;8.3;2.4;7.6;0;;
ПРОДУКТ;Крабы консервированные;87.3;18.7;1.1;0.1;0;;
ПРОДУКТ;Крабы отварные;99.04;16;3.6;0;0;;
ПРОДУКТ;Краве масло 82;746;1;82;1;0;;
ПРОДУКТ;Краковская традиционная;282.27;11;22;10;0;;
ПРОДУКТ;Краковская» колбаса полукопченая в натуральной оболочке;211.8;15.1;11.7;0.48;0;;
ПРОДУКТ;Кранч гранола с протеином Кофе и Инжир;410;10;17;51;0;;
ПРОДУКТ;Кранч гранола с протеином Шоколад—ваниль;420;10;17;53;0;;
ПРОДУКТ;Крапива;34.77;2.6;0.3;5.2;0;;
ПРОДУКТ;Красная Рыбка В Соусе Терияки;82;7.7;2;8.4;0;;
ПРОДУКТ;Красная Шапочка;567;10;33.3;50;0;;
ПРОДУКТ;Красная фасоль в собственном соку;80;5;0.5;13;0;;
ПРОДУКТ;Красная фасоль натуральная;76.5;5;0.5;13;0;;
ПРОДУКТ;Красная шняга;219;3.9;21;3.8;0;;
ПРОДУКТ;Красноглазка;128.81;21.9;4.2;0;0;;
ПРОДУКТ;Краснопёрка;102.9;18.3;3;0;0;;
ПРОДУКТ;Красный Бархат;205;2.8;7.6;31.3;0;;
ПРОДУКТ;Красный бархат торт;410;4.5;24;43;0;;
ПРОДУКТ;Красный октябрь;560;7;35;53;0;;
ПРОДУКТ;Крауссан;250;5;13;29;0;;
ПРОДУКТ;Краффин с корицей;367.2;4.8;20.4;41.1;0;;
ПРОДУКТ;Крахмал картофельный;326.77;0.1;0;79.6;0;;
ПРОДУКТ;Крахмал кукурузный;358.99;1;0.6;85.2;0;;
ПРОДУКТ;Крахмал тапиоковый;360.8;0;0;88;0;;
ПРОДУКТ;Краяе Кисело Мляко 3.6;62;3.2;3.6;4.2;0;;
ПРОДУКТ;Креветка рубленые в классическом соусе;450;5.5;45;4.5;0;;
ПРОДУКТ;Креветки;66;15;0.7;0;0;;
ПРОДУКТ;Креветки Polar Premium свежемороженые;84.95;17;1.2;1;0;;
ПРОДУКТ;Креветки Аргентинские Дикие Очищенные;62.5;13.6;0.9;0;0;;
ПРОДУКТ;Креветки Белоногие;110.7;24.4;1.5;0;0;;
ПРОДУКТ;Креветки В Заливке;80;17;1;0.5;0;;
ПРОДУКТ;Креветки Королевские;89.46;18.3;1.2;0.8;0;;
ПРОДУКТ;Креветки Королевские Очищенные;50;11;0.4;0.5;0;;
ПРОДУКТ;Креветки Свит Чили;241;13.8;6.89;30.9;0;;
ПРОДУКТ;Креветки Тигровые;84.29;19.2;0.6;0;0;;
ПРОДУКТ;Креветки Черные Тигровые;111;19.6;1.2;5.4;0;;
ПРОДУКТ;Креветки консервированные;83.2;17.8;1.1;0;0;;
ПРОДУКТ;Креветки маринованные;62.1;12.2;1.3;0;0;;
ПРОДУКТ;Креветки отварные;97.93;18.9;2.2;0;0;;
ПРОДУКТ;Креветки очищенные замороженные;66.69;14;1;0;0;;
ПРОДУКТ;Креветки с соусом васаби;281.5;19.5;10.2;27.8;0;;
ПРОДУКТ;Креветки свежие;99.49;22;1;0;0;;
ПРОДУКТ;Крекер;363;10.3;2.9;71.4;0;;
ПРОДУКТ;Крекер (сухое печенье) «Будь здоров!» с отрубями;400;10;8.5;69;0;;
ПРОДУКТ;Крекер Tuc Cheezzz;495.42;8.5;24.2;57.5;0;;
ПРОДУКТ;Крекер Tuc Original;489.74;8.1;22;61.5;0;;
ПРОДУКТ;Крекер «Забавные животные;430;9;12;70;0;;
ПРОДУКТ;Крекер «Здрава» с луком и сыром;449.81;7.5;18;64;0;;
ПРОДУКТ;Крекер «Конфи» Рыбки с луком;477;8.1;26.3;51;0;;
ПРОДУКТ;Крекер Здрава Французский;426;8;13.8;67.5;0;;
ПРОДУКТ;Крекер Золотая Рыбка;440;9;14;71;0;;
ПРОДУКТ;Крекер С Зеленью Луком И Сметаной;466.6;10.5;19;63.4;0;;
ПРОДУКТ;Крекер С Зеленью, Луком И Сметаной;466.6;10.5;19;63.4;0;;
ПРОДУКТ;Крекер С Картофелем И Зеленью;450;9;17;64;0;;
ПРОДУКТ;Крекер С Солью;460;7.5;18;65;0;;
ПРОДУКТ;Крекер Французский Прованс;442;8.2;15;68.5;0;;
ПРОДУКТ;Крекер Янтарный с сыром;460;8;18;64;0;;
ПРОДУКТ;Крекер з цибулею;437;9.1;15.8;63;0;;
ПРОДУКТ;Крекер классический;450;9;18;64;0;;
ПРОДУКТ;Крекер крендель солёный;374;15.3;4;69.3;0;;
ПРОДУКТ;Крекер ржаной;477.2;8.1;19.2;67.4;0;;
ПРОДУКТ;Крекер ржаной с паприкой и перцем чили;462.4;7.8;16.4;70.9;0;;
ПРОДУКТ;Крекер ржаной с чесноком и кайенским перцем;451.4;7.9;15;71.2;0;;
ПРОДУКТ;Крекер с Семенами Льна;443;8;14.5;70;0;;
ПРОДУКТ;Крекер с кунжутом и семенами льна;440;9.5;18;60;0;;
ПРОДУКТ;Крекер с морской солью;430;9;14;66;0;;
ПРОДУКТ;Крекер с отрубями;438;11;14;67;0;;
ПРОДУКТ;Крекер с сыром;450;8;21;60;0;;
ПРОДУКТ;Крекеры TUC сметана-лук;495;8.5;22;65;0;;
ПРОДУКТ;Крем Сир 20;223.6;8.5;20;2.4;0;;
ПРОДУКТ;Крем взбитый на растительных маслах ультрапастеризованный Кулинар;303;1.1;26.5;14;0;;
ПРОДУКТ;Крем для торта Dr. Oetker шоколадный;470.28;15.9;28.6;34;0;;
ПРОДУКТ;Крем кондитерский;310.01;0.2;26;16.5;0;;
ПРОДУКТ;Крем на растительном масле взбитый ультрапастеризованный;303;1.1;27;14;0;;
ПРОДУКТ;Крем от скариди и авокадо Зигмас;398;4.3;40;5.2;0;;
ПРОДУКТ;Крем-Брюле Трубочки;486;6.7;31;44.7;0;;
ПРОДУКТ;Крем-Сир Der Sahnige;238;5.5;22.5;3;0;;
ПРОДУКТ;Крем-Сир Philadelphia Light;145;7.2;10;5.1;0;;
ПРОДУКТ;Крем-Фиш Кальмар с креветками;327.44;4.5;32;7.5;0;;
ПРОДУКТ;Крем-мёд Облепиховый Медведь;324;0.4;0.6;79.2;0;;
ПРОДУКТ;Крем-паста карамельная;478.01;1.5;35;40;0;;
ПРОДУКТ;Крем-суп С Лесными Грибами;124.1;1.9;8.1;10.9;0;;
ПРОДУКТ;Крем-суп из брокколи с зелёным горошком;60;2;3;7;0;;
ПРОДУКТ;Крем-суп томатный замороженный;107.4;0.6;0.1;5.5;0;;
ПРОДУКТ;Крем-фиш горбуша-скумбрия;220;9;18;6;0;;
ПРОДУКТ;Крем-фиш краб снежный;404;4;40;7;0;;
ПРОДУКТ;Кремобон;390;5;18;52;0;;
ПРОДУКТ;Кренвирш Бони;212;12;18.3;1;0;;
ПРОДУКТ;Кренвирши Бони XXL;212;12;18.3;1;0;;
ПРОДУКТ;Крендель;346.55;8.2;3.1;69.3;0;;
ПРОДУКТ;Крендель с корицей;330;7;20;43;0;;
ПРОДУКТ;Крепкий черный чай;1;0.1;0;0.2;0;;
ПРОДУКТ;Кресс-салат;15.69;2.3;0.1;1.3;0;;
ПРОДУКТ;Крестьянский;275;8.1;3;54;0;;
ПРОДУКТ;Криспер;480;6.8;22;61.1;0;;
ПРОДУКТ;Кроасан 7 дейс чипикао;453;5.6;28;43;0;;
ПРОДУКТ;Кроасан Лото какао/ ванилия;462;6.5;28.5;43.6;0;;
ПРОДУКТ;Кровянка;277.51;9;19.5;14.5;0;;
ПРОДУКТ;Крок-месье на бриоши с индейкой;181;10;10.3;11.9;0;;
ПРОДУКТ;Крокеты картофельные с грибами;256;4;20;15;0;;
ПРОДУКТ;Крокодиловое мясо;113.1;26;0.7;0;0;;
ПРОДУКТ;Кролик;389;61;13;7;0;;
ПРОДУКТ;Кролик жареный;158.24;25;6;0;0;;
ПРОДУКТ;Кроличий фарш;151.57;19.5;7.4;0.7;0;;
ПРОДУКТ;Кроличьи почки;67.97;12.5;1.8;0;0;;
ПРОДУКТ;Кроличья печень;170.8;19;10;0;0;;
ПРОДУКТ;Крохотушки маковые;351.7;10.8;4.5;67;0;;
ПРОДУКТ;Круасан;460;7;28;44;0;;
ПРОДУКТ;Круасан С Куриной Грудкой И Плавленным Сыром;270;13;16;20;0;;
ПРОДУКТ;Круасаны;448;6;26;46;0;;
ПРОДУКТ;Круассан;451;5.9;27;45;0;;
ПРОДУКТ;Круассан Выпекаем дома;397.5;5.4;25.5;36.6;0;;
ПРОДУКТ;Круассан Миндальный;421.6;8.1;22.8;46;0;;
ПРОДУКТ;Круассан Миндальный замороженный;400.6;5.9;23.4;41.6;0;;
ПРОДУКТ;Круассан Плоский С Фундуком;417.1;5.1;23.5;46.3;0;;
ПРОДУКТ;Круассан С Малиновым Джемом;330;5;15;43;0;;
ПРОДУКТ;Круассан Черёмушки без начинки;470.91;8;28.8;41.6;0;;
ПРОДУКТ;Круассан Черёмушки с абрикосовой начинкой;398.26;5.5;19.7;47;0;;
ПРОДУКТ;Круассан Черёмушки с карамельной начинкой;388.42;6.4;21.2;40.3;0;;
ПРОДУКТ;Круассан Черёмушки с клубничной начинкой;398.26;5.5;19.7;47;0;;
ПРОДУКТ;Круассан Черёмушки с шоколадно-ореховой начинкой;478.16;6.3;28.3;46.2;0;;
ПРОДУКТ;Круассан Черёмушки со сливочной начинкой;477.55;5.7;28.5;46.2;0;;
ПРОДУКТ;Круассан зерновой;341.6;6.3;21.2;31.4;0;;
ПРОДУКТ;Круассан классический;390;7;22;42;0;;
ПРОДУКТ;Круассан миндальный с брусникой;393.1;7.2;21.1;43.6;0;;
ПРОДУКТ;Круассан миндальный с вишней;362;5.7;16;48.8;0;;
ПРОДУКТ;Круассан миндальный с лесной ягодой;390.4;6.9;20;45.7;0;;
ПРОДУКТ;Круассан миндальный с малиной;363.6;5.7;17.2;46.5;0;;
ПРОДУКТ;Круассан миндальный с малиной замороженный;364.9;5.8;18.9;42.9;0;;
ПРОДУКТ;Круассан на масле;360;7.5;19;39;0;;
ПРОДУКТ;Круассан с Пепперони;270;9.5;17;19;0;;
ПРОДУКТ;Круассан с ветчиной;360;9;28;18;0;;
ПРОДУКТ;Круассан с ветчиной и сыром;393;11.09;26.6;26.93;0;;
ПРОДУКТ;Круассан с запечённой курицей, беконом и яйцом;338.2;12.1;22.2;22.5;0;;
ПРОДУКТ;Круассан с карамельной начинкой Черемушки;380;6.5;22;40;0;;
ПРОДУКТ;Круассан с колбасой и сыром;230;6;14;20;0;;
ПРОДУКТ;Круассан с копчёным лососем;377.8;21.8;20.6;26.3;0;;
ПРОДУКТ;Круассан с красной рыбкой и сливочным сыром;230;7.7;14;18.2;0;;
ПРОДУКТ;Круассан с курицей и брусникой;233.6;7.7;11.6;24.6;0;;
ПРОДУКТ;Круассан с курицей по-азиатски;230;9.5;12;20;0;;
ПРОДУКТ;Круассан с малиновой начинкой;401.9;7;17.1;55;0;;
ПРОДУКТ;Круассан с марципаном и черной смородиной;557.4;4.4;18.6;58.1;0;;
ПРОДУКТ;Круассан с миндальным кремом;461;8;29;42;0;;
ПРОДУКТ;Круассан с омлетом и пастрами из индейки;339;29;15;22;0;;
ПРОДУКТ;Круассан с салями;260;7;16;23;0;;
ПРОДУКТ;Круассан с соленой карамелью;310;4;16;37;0;;
ПРОДУКТ;Круассан с фисташками;421.2;9;24;42.3;0;;
ПРОДУКТ;Круассан с шоколадным кремом;400;6.5;19;51;0;;
ПРОДУКТ;Круассан с шоколадом;435.3;6;27.7;40.5;0;;
ПРОДУКТ;Круассан с шоколадом замороженный 2 шт;435.3;6;27.7;40.5;0;;
ПРОДУКТ;Круассан сырный;435.4;11;23.4;45.2;0;;
ПРОДУКТ;Круассан-ролл «карамель-ваниль;398.7;5.4;25.5;36.9;0;;
ПРОДУКТ;Круассаны Для Выпечки;382.4;5.2;22.4;40;0;;
ПРОДУКТ;Круассаны на сливочном масле замороженные;377.2;7;20.3;41.6;0;;
ПРОДУКТ;Круггеты;220;7;16;12;0;;
ПРОДУКТ;Кружочки сдобные с сахаром;444;8.2;15.5;68;0;;
ПРОДУКТ;Крупа Гречневая Купеческая;340;13;3.8;63;0;;
ПРОДУКТ;Крупа Гречневая Купеческая Ядрица Быстроразваривающаяся;340;13;3.5;63;0;;
ПРОДУКТ;Крупа Кукурузная в пакетиках для варки;290;6;1;64;0;;
ПРОДУКТ;Крупа Манная М;325.07;12;1;67;0;;
ПРОДУКТ;Крупа Рис длиннозёрный шлифованный. Сорт 2;321.46;7.02;1;71;0;;
ПРОДУКТ;Крупа Рис шлифованный длиннозерный;321;7;1;71;0;;
ПРОДУКТ;Крупа Рис шлифованный круглозерный;321;7;1;71;0;;
ПРОДУКТ;Крупа Рис шлифованный пропаренный;360;7.5;2.5;75;0;;
ПРОДУКТ;Крупа Рисовая Шлифованая Рис Семейный;321;7;1;71;0;;
ПРОДУКТ;Крупа горох шлифованный колотый сорт 2;323;23;1.6;57.7;0;;
ПРОДУКТ;Крупа греча ядрица;330;13;2.5;68;0;;
ПРОДУКТ;Крупа гречневая;420;6.5;9;79;0;;
ПРОДУКТ;Крупа гречневая Царь в пакетиках;330;13;3;68;0;;
ПРОДУКТ;Крупа гречневая Ядрица пропаренная;329.83;13;3;68;0;;
ПРОДУКТ;Крупа гречневая алтайская;333.65;13;2.6;68;0;;
ПРОДУКТ;Крупа гречневая быстроразваривающаяся (пропаренная) ядрица;329;12.6;2.6;68;0;;
ПРОДУКТ;Крупа гречневая для вкусного гарнира;335.09;12.6;3.3;62.1;0;;
ПРОДУКТ;Крупа гречневая ядрица;330;13;3;68;0;;
ПРОДУКТ;Крупа гречневая ядрица 1 сорт быстроразваривающаяся;329;12.6;2.6;68;0;;
ПРОДУКТ;Крупа гречневая ядрица быстроразваривающаяся;350;13;2.5;68;0;;
ПРОДУКТ;Крупа гречневая ядрица быстроразваривающаяся (пропаренная) первый сорт;329;12.6;2.6;68;0;;
ПРОДУКТ;Крупа гречневая ядрица быстроразваривающаяся Первый сорт ГОСТ Р 55290-2012;350;13;2.5;68;0;;
ПРОДУКТ;Крупа гречневая ядрица быстроразваривающаяся из пропаренного зерна ГОСТ 5550-2021 Сорт первый;350;13;2.5;68;0;;
ПРОДУКТ;Крупа гречневая ядрица быстроразваривающаяся первый сорт;350;13;2.5;68;0;;
ПРОДУКТ;Крупа кукурузная;339.39;8.5;1;75;0;;
ПРОДУКТ;Крупа манна марка «М;333;10.3;1;70.6;0;;
ПРОДУКТ;Крупа манная «Зернодар» - марка М;329.83;10;1;69;0;;
ПРОДУКТ;Крупа манная марка «М;320;10;1;67;0;;
ПРОДУКТ;Крупа манная марка М;333.22;10.3;1;70.6;0;;
ПРОДУКТ;Крупа манная марки М;329.83;10;1;69;0;;
ПРОДУКТ;Крупа овсяная Кубань матушка;306;12;6;51;0;;
ПРОДУКТ;Крупа овсяная плющеная Мясновъ;350;13;6;60;0;;
ПРОДУКТ;Крупа овсянная недробленая;303;11;6.1;49.7;0;;
ПРОДУКТ;Крупа перловая;320;9.5;1;67;0;;
ПРОДУКТ;Крупа перловая жемчужная;315;9.3;1.1;67;0;;
ПРОДУКТ;Крупа пшеничная;330;12;1.5;68;0;;
ПРОДУКТ;Крупа пшеничная Полтавская;310;12;1.5;60;0;;
ПРОДУКТ;Крупа пшено;350;12;3;69;0;;
ПРОДУКТ;Крупа пшено шлифованное;351.34;12;3;69;0;;
ПРОДУКТ;Крупа пшено шлифованное 1 сорта;347.99;11.5;3.3;66.5;0;;
ПРОДУКТ;Крупа рисовая (фасованная): рис шлифованный пропаренный;361.1;7.1;0.3;82.5;0;;
ПРОДУКТ;Крупа рисовая обработанная паром;330;7;1;74;0;;
ПРОДУКТ;Крупа рисовая обработанная паром высший сорт;330;7;1;74;0;;
ПРОДУКТ;Крупа рисовая рис шлифованный «Рис Краснодарский;321;7;1;71;0;;
ПРОДУКТ;Крупа рисовая шлифованная (рис длиннозерный;323;7;0.6;77.3;0;;
ПРОДУКТ;Крупа ячменная перловая Номер 1;317.88;10.4;1.3;67;0;;
ПРОДУКТ;Крупа ячневая;310;10;1.5;65;0;;
ПРОДУКТ;Крутец Двойной;279;6.8;9.3;42.1;0;;
ПРОДУКТ;Крутоны;425.49;10.1;9.7;71.7;0;;
ПРОДУКТ;Крушарики. Кукурузные палочки;433;4.9;14.2;71.4;0;;
ПРОДУКТ;Крыжовник;53.93;0.7;0.2;12;0;;
ПРОДУКТ;Крылышки в соусе баффало;318;10;30;2;0;;
ПРОДУКТ;Крылья барбекю в пакете для запекания;160;17;10;1;0;;
ПРОДУКТ;Крылья куриные в маринаде;170;17;11.2;1;0;;
ПРОДУКТ;Крымское Доброе классический пломбир;240;3.9;14.8;23;0;;
ПРОДУКТ;Ксилит;401.39;0;0;97.9;0;;
ПРОДУКТ;Куантро Ликер крепкий;329;0;0;25;0;;
ПРОДУКТ;Куйбышева 75 Cheetos Сладкий Тайчили;490;7;24;60;0;;
ПРОДУКТ;Куйбышева 75 Xrus team;430;9;14;66;0;;
ПРОДУКТ;Кукис С Карамелью;452.9;7.4;16.1;69.6;0;;
ПРОДУКТ;Кукис с кокосом и тёмным шоколадом;407.2;6.2;10;73.1;0;;
ПРОДУКТ;Кукумария;35.5;7.3;0.6;0;0;;
ПРОДУКТ;Кукуруза;117;3;1;23;0;;
ПРОДУКТ;Кукуруза 4 сезона сладкая в зёрнах;244.02;11.4;4.2;38.6;0;;
ПРОДУКТ;Кукуруза 6 соток сладкая;54.94;2.2;0;11.2;0;;
ПРОДУКТ;Кукуруза Globus сахарная в зернах;58.05;2.9;0.6;9.9;0;;
ПРОДУКТ;Кукуруза Hortex;106.9;3.6;1.4;19.3;0;;
ПРОДУКТ;Кукуруза Без Сахара;50;2;0;11;0;;
ПРОДУКТ;Кукуруза Бондюэль золотистая;98.67;3.2;1;18.6;0;;
ПРОДУКТ;Кукуруза Бондюэль сладкая в зернах в вакуумной упаковке;118.27;3.9;1.3;22;0;;
ПРОДУКТ;Кукуруза Бондюэль сладкая в зёрнах;95.17;3.3;2.3;14.7;0;;
ПРОДУКТ;Кукуруза Сладкая Консервированная Стерилизованная;100;3;1;19;0;;
ПРОДУКТ;Кукуруза в зернах Баланс;53;1.9;0.8;9.4;0;;
ПРОДУКТ;Кукуруза в початках вареная;123;4.1;2.3;22.5;0;;
ПРОДУКТ;Кукуруза варёная;130.43;4.1;2.3;22.5;0;;
ПРОДУКТ;Кукуруза деликатесная;100.38;3;2;18;0;;
ПРОДУКТ;Кукуруза мини;116.95;3.1;1.6;21.8;0;;
ПРОДУКТ;Кукуруза обжаренная соленая;464;8;15.1;72;0;;
ПРОДУКТ;Кукуруза сахарная в зернах;65;2;1;12;0;;
ПРОДУКТ;Кукуруза сахарная в зёрнах;45;1.5;0.8;7.9;0;;
ПРОДУКТ;Кукуруза сладкая;72;2.7;1.4;11;0;;
ПРОДУКТ;Кукуруза сладкая в зернах;80;2.6;1;15.2;0;;
ПРОДУКТ;Кукуруза сладкая в зернах в вакуумной упаковке;57.84;2.87;0.6;9.9;0;;
ПРОДУКТ;Кукуруза сладкая в початках;104.32;3.5;2.8;15.6;0;;
ПРОДУКТ;Кукуруза сладкая консервированная;54.94;2.2;0;11.2;0;;
ПРОДУКТ;Кукуруза сладкая отборная сорт высший;80;3;1;13;0;;
ПРОДУКТ;Кукурузная каша Малютка безмолочная;384.44;7;1;84.5;0;;
ПРОДУКТ;Кукурузная кашка Heinz низкоаллергенная без молока;389.49;7.8;3;80.4;0;;
ПРОДУКТ;Кукурузная кашка Heinz тыква чернослив морковочка молочная;404.27;12.9;6.4;71.2;0;;
ПРОДУКТ;Кукурузная крупа;352.68;8.3;1.2;75;0;;
